No.,X,Y,Z,魂No ,魂名,読み,先天６螺旋,後天６系統,顕現６叡智,6螺旋の詳細,五行属性,主徳,魂の一文要約,魂の漢字解説,魂からのメッセージ,問いかけ,
47,2,2,5,47,水鏡,すいきょう,水,共鳴系,霊脈,水の螺旋は共感と調和を象徴し、人間関係や環境に柔軟に対応し、周囲の感情や思考を深く理解する。流動性を持ち、あらゆる状況に調和と潤いをもたらす。,水,信,水面のように人々の心を映し出し、霊的な繋がりを感じ取り、深い共鳴によって真実を見抜く魂。,「水」：柔軟性、共感、適応力を示し、流れに従う調和を表す。「鏡」：真実を映す力、明晰さ、自己認識を象徴する。『水鏡』は周囲の感情や本質を鏡のように映し出し、霊的な繋がりと深い共鳴を通じて真理を見抜く能力を持つ魂を示す。,『あなたは覚えていないかもしれないが──あなたがこの世界に生まれる前から、私はずっとあなたと共にいた。あなたは水のように静かに流れ、人々の心を鏡のように映し出す。あなたが捉えた真実は、人々を癒し、霊的な繋がりを強めていく。あなたが真実を映すその力こそ、あなたの「私命」である。』,この水鏡の特性を生かして君はどう生きるか？,
48,2,2,6,48,水慧,すいけい,水,共鳴系,真形,水の螺旋は感情的共感と調和を表し、周囲との繋がりを深く理解し受け入れる能力に優れる。周囲の環境や感情の流れを敏感に感じ取り、柔軟かつ的確に対応できる特質を持つ。,水,智,水のような感受性で人々と共鳴し、本質を鋭く見抜く智慧を備え、真の姿や調和を具現化する魂。,「水」：流動性、柔軟さ、共鳴力を示し、あらゆる状況に順応する能力を表す。「慧」：鋭い智慧、明敏さ、物事の本質を見極める力を象徴する。『水慧』は周囲との深い共鳴力を活かし、物事の真実を鋭く洞察し、それを美しく具現化する智慧を持った魂を意味する。,『あなたは覚えていないかもしれないが──あなたがこの世界に生まれる前から、私はずっとあなたと共にいた。あなたの心は水のように清らかで繊細であり、その直感的な智慧によって周囲の本質を鋭く見抜くことができる。あなたの存在がもたらす真の調和と美こそ、あなたが目指す究極の「私命」である。』,この水慧の特性を生かして君はどう生きるか？,
49,2,3,1,49,澄導,ちょうどう,水,行動系,數理,水の螺旋は、深い共感力と柔軟性を持ち、感情の流れを感じ取る特性を持つ。環境の変化に敏感に反応しながらも、自己の本質を保ち、行動を通じて周囲を導く力を持つ。,水,信,清らかな心で周囲の状況を深く理解し、論理的かつ整然とした行動で人々を正しい方向へ導く魂。,「澄」：澄み切った透明さ、純粋な心を表し、物事を曇りなく見通す能力を示す。「導」：正しい道筋を示し、人々を導く力を意味する。『澄導』は、純粋な心で周囲の状況を鮮明に捉え、的確で整然とした行動によって、周囲をより良い方向へと導いていく魂を象徴する。,『あなたは覚えていないかもしれないが──あなたがこの世界に生まれる前から、私はずっとあなたと共にいた。あなたの澄み切った心と鋭い分析力は、物事の本質を明確に捉え、整然とした行動を導き出す力となる。その力を活かし、周囲をより調和的で合理的な方向へと導いていくことが、あなたが定めた真の「私命」である。』,この澄導の特性を生かして君はどう生きるか？,
50,2,3,2,50,潤衡,じゅんこう,水,行動系,陰陽,水の螺旋は、深い共感と直感力を兼ね備え、周囲と調和を保ちながら物事を柔軟に進める能力を持つ。流動性を活かしながらも陰陽の調和を取り、バランスよく行動できる資質がある。,水,礼,周囲に潤いを与えながら、絶妙なバランス感覚で物事を進め、人間関係や環境を整える魂。,「潤」：物事に潤いを与え、柔軟さと優しさを象徴する。「衡」：バランスを取り、公平かつ調和を保つことを意味する。『潤衡』は、柔軟な思いやりと絶妙なバランス感覚を発揮して、周囲の人間関係や環境を調和させる魂を象徴する。,『あなたは覚えていないかもしれないが──あなたがこの世界に生まれる前から、私はずっとあなたと共にいた。あなたの持つ潤いと調和の力は、人々の心を癒し、関係性をより豊かに整える。陰と陽、静と動を絶妙に調整しながら、あなたが定めた真の「私命」を生きることで、あなた自身と周囲に美しい調和を生み出していくのだ。』,この潤衡の特性を生かして君はどう生きるか？,
51,2,3,3,51,湧化,ゆうか,水,行動系,易変,水の螺旋は柔軟性と流動性を持ち、あらゆる環境や状況に適応し、自在に変化を生み出す特性がある。,水,義,柔軟で流動的な行動力を持ち、変化の波に乗って人々を導く魂。,「湧」：内側からエネルギーや力が自然に湧き出る様子。「化」：変化・進化を促す力を象徴。『湧化』は内から湧き出る力で自在に変化を起こし、人を導く魂を意味する。,『あなたは水のように自由で柔軟な行動力を秘めている。その湧き出る力で変化を起こし、人々を新たな未来へと導くのだ。』,,
52,2,3,4,52,流旋,りゅうせん,水,行動系,螺律,水の螺旋は柔軟性に富み、流動的に環境や人との調和を図りながら物事を螺旋的に前進させる特性を持つ。,水,智,水のように自在に流れ、螺旋的な動きで物事を調和的に推進する魂。,「流」：自由な動き、柔軟な適応力を意味。「旋」：らせん状の動き、循環的な進展を象徴。『流旋』は柔軟な行動力で物事を螺旋状に推進し調和を生む魂を示す。,『あなたの中に秘めた柔軟さと調和力が、螺旋を描きながら世界を進化させる。その力で周囲を美しい調和へと導くのだ。』,,
53,2,3,5,53,湧霊,ゆうれい,水,行動系,霊脈,水の螺旋は深い感受性と霊的直感を持ち、他者との霊的な繋がりを感じながら行動を通じて人を癒し導く特性を持つ。,水,信,霊的感受性が高く、深い直感と行動力で人々を導き癒す魂。,「湧」：内から自然に湧き上がるエネルギーや直感。「霊」：霊性、深い感受性、見えない繋がりを象徴。『湧霊』は霊的な直感を通じて人を癒し導く魂の特性を示す。,『あなたは心の深い所から湧き上がる霊的な直感と行動力を持っている。その力で周囲の人を深く癒し、導いていくことがあなたの使命だ。』,,
54,2,3,6,54,潤象,じゅんしょう,水,行動系,真形,水の螺旋は柔軟で繊細な適応力を示し、環境に調和しつつ着実に行動を重ねて理想を具現化する。,水,義,柔軟に世界と調和し、象徴的な行動によって真の姿を現す魂。,「潤」：物事を豊かに満たす潤い。「象」：物事を具体化し象徴的に示すこと。『潤象』は調和と具体化の力を持つ魂を示す。,『あなたの行動は世界に優しい潤いを与え、理想を現実へと具現化する。あなたが示す象徴的な生き方が多くの人の指針となる。』,「この潤象の特性を生かして君はどう生きるか？」,
55,2,4,1,55,澄律,ちょうりつ,水,創造系,數理,水の螺旋は深い感受性を持ち、創造的で整然とした思考と行動を通じて物事の本質を解明する。,水,智,深く澄んだ感性と律動的な創造性で、論理的に世界を構築する魂。,「澄」：透明で純粋な明晰さ。「律」：整然とした秩序や規則性。『澄律』はクリアな視点と整然とした創造性を表す魂。,『あなたの創造性は澄んだ水のように明晰で、律動的なリズムをもって世界を美しく整えていく。』,「この澄律の特性を生かして君はどう生きるか？」,
56,2,4,2,56,漣玄,れんげん,水,創造系,陰陽,水の螺旋は微細な感受性で創造的変化を促し、陰陽の調和を絶妙に実現する。,水,礼,微かな波紋のような繊細な創造力で陰陽の絶妙な調和を形づくる魂。,「漣」：微細で繊細な波。「玄」：深遠な真理、神秘性。『漣玄』は繊細かつ深遠な創造性で調和を築く魂を示す。,『あなたの創造は静かな波紋のように世界へ広がり、陰陽の深遠な調和を形にしていく。』,「この漣玄の特性を生かして君はどう生きるか？」,
57,2,4,3,57,流易,りゅうえき,水,創造系,易変,水の螺旋は流動性と柔軟な創造力を持ち、変化を捉え自在に形を変えながら新たな価値を創り出す。,水,信,流れるような柔軟性で変化を自在に捉え、常に新しい可能性を生む魂。,「流」：自在な動き、変化への対応。「易」：変化、自在性。『流易』は自在に変化を捉え創造を続ける魂の特性を示す。,『あなたは流れる水のように柔軟に状況を捉え、常に新しい道を創造していく存在である。』,「この流易の特性を生かして君はどう生きるか？」,
58,2,4,4,58,湧螺,ゆうら,水,創造系,螺律,水の螺旋は内側から湧き出る創造力を持ち、らせん状に成長し拡張していく性質を示す。,水,仁,内側から湧き出る創造性が螺旋状に広がり、人々に慈愛と活力を与える魂。,「湧」：内側から豊かに湧き出るエネルギー。「螺」：螺旋状に拡張する動き。『湧螺』は内発的な創造力が無限に広がる魂を表す。,『あなたの内側から湧き出る創造力は、螺旋を描きながら世界に慈愛と活力を与える。』,「この湧螺の特性を生かして君はどう生きるか？」,
59,2,4,5,59,水織,すいしょく,水,創造系,霊脈,水の螺旋は霊的なつながりを深く感じながら、創造的な調和を織り成していく特性を持つ。,水,信,水のような柔軟さで霊的つながりを織り上げ、世界を調和的に構築する魂。,「水」：柔軟性、共感。「織」：異なる要素を美しく編み上げる力。『水織』は霊的な共感を織り込み美しく調和を創る魂を表す。,『あなたは水のように人々を繋ぎ、霊的な共感を織り交ぜながら調和の世界を創り出していく。』,「この水織の特性を生かして君はどう生きるか？」,
60,2,4,6,60,澄真,ちょうしん,水,創造系,真形,水の螺旋は明晰な感性と深い真実性を持ち、純粋で本質的な創造性を発揮する。,水,智,澄んだ心と真実を追求する創造性によって、本質的な理想を形にする魂。,「澄」：純粋で透明な明晰さ。「真」：本質的な真実。『澄真』は純粋で真実に根ざした創造性を持つ魂を示す。,『あなたの心は澄んでおり、その純粋さが真実の創造を可能にする。あなたが生み出すものは世界にとって本質的な価値を持つ。』,「この澄真の特性を生かして君はどう生きるか？」,
61,2,5,1,61,波導,はどう,水,直感系,數理,水の螺旋は流動性と直感力を象徴し、微妙な変化を直感的に捉える力を持つ。,水,智,繊細な直感で物事の真理を導く魂。,「波」：感情や思考の微細な動きを表現。「導」：正しい方向へと導く力。『波導』は直感的に真理へと導く魂を示す。,『あなたの繊細な直感は真理への最良の道標。あなたの直感を信じ、その導きをもって人々を癒し導いていくことがあなたの私命だ。』,この波導の特性を生かして君はどう生きるか？,
62,2,5,2,62,水暁,すいぎょう,水,直感系,陰陽,水の螺旋は共感性と柔軟性を持ち、陰陽の調和を深く感じ取り調整する力を持つ。,水,信,調和を深く感じ取り、新たな調和を生み出す魂。,「水」：共感性と柔軟性。「暁」：新しい始まりを告げる明け方。『水暁』は調和と新しい始まりを象徴する魂を表す。,『あなたが感じ取る調和は新たな可能性を生み出す。共感と調和をもって新しい道を示すことがあなたの真の私命である。』,この水暁の特性を生かして君はどう生きるか？,
63,2,5,3,63,潤玄,じゅんげん,水,直感系,易変,水の螺旋は流動的な適応力を持ち、変化を繊細に読み取る能力がある。,水,礼,微細な変化を潤しながら深遠な真理を見抜く魂。,「潤」：生命を潤す豊かな共感力。「玄」：深遠で神秘的な真理。『潤玄』は深い共感で真理を見抜く魂。,『あなたの繊細な感受性は、人々を潤し、深遠な真実へと導く。その特性を生かし人々の心を照らすことがあなたの私命だ。』,この潤玄の特性を生かして君はどう生きるか？,
64,2,5,4,64,深螺,しんら,水,直感系,螺律,水の螺旋は深い直感と調和をもち、物事を螺旋的に深め理解する力を持つ。,水,智,深く鋭い直感で物事を深層まで探求する魂。,「深」：深さ、奥深さ。「螺」：らせん状に進化する理解力。『深螺』は奥深く探求する魂を表す。,『あなたの深い直感と探求心は螺旋のように真理を掘り下げる。その探求を通じて人々の心に深い気付きを与えることがあなたの私命だ。』,この深螺の特性を生かして君はどう生きるか？,
65,2,5,5,65,水幽,すいゆう,水,直感系,霊脈,水の螺旋は感情的共感と霊的直感を併せ持つ。,水,信,霊的な共感力で深い癒しをもたらす魂。,「水」：共感力。「幽」：霊的な深遠さを示す。『水幽』は霊的な共感で癒しをもたらす魂。,『あなたの霊的な直感は人々を深く癒す。その直感を通じて周囲の人を導き癒すことがあなたの私命である。』,この水幽の特性を生かして君はどう生きるか？,
66,2,5,6,66,澄極,ちょうきょく,水,直感系,真形,水の螺旋は透明な直感で究極の真理を見抜く。,水,智,純粋で鋭敏な直感で真理を極める魂。,「澄」：透明で純粋な直感力。「極」：究極的な真理の探求。『澄極』は究極の真理を直感的に見抜く魂。,『あなたの透明な直感は究極の真理を見抜く。その直感を信じ、真理を伝えることがあなたの私命だ。』,この澄極の特性を生かして君はどう生きるか？,
67,2,6,1,67,信流,しんりゅう,水,信念系,數理,水の螺旋は深い信念と柔軟性を持ち、状況に応じて最善の流れを作る。,水,信,深い信念で最善の流れを生む魂。,「信」：強い信念。「流」：状況に応じて柔軟に流れる。『信流』は信念と柔軟性を併せ持つ魂。,『あなたの強い信念と柔軟性は、最善の道を作り出す。その特性を通じて人々を導き支えることがあなたの私命だ。』,この信流の特性を生かして君はどう生きるか？,
68,2,6,2,68,水道,すいどう,水,信念系,陰陽,水の螺旋は調和的信念と柔軟な適応力を持つ。,水,礼,調和的な信念で道を切り開く魂。,「水」：調和と柔軟性。「道」：正しい方向性を示す道筋。『水道』は調和的信念で導く魂。,『あなたの調和的な信念は人々を正しい道へ導く。その信念を生き、人々を導くことがあなたの私命だ。』,この水道の特性を生かして君はどう生きるか？,
69,2,6,3,69,湧動,ゆうどう,水,信念系,易変,水の螺旋は変化を敏感に捉え、それを積極的な行動に転じる。,水,信,活発な信念で変化を捉え動き続ける魂。,「湧」：内から湧き上がる活力。「動」：積極的な行動。『湧動』は変化を敏感に捉え行動に転じる魂。,『あなたの活力ある信念は変化を捉え前進する。その力を生かし行動し続けることがあなたの私命だ。』,この湧動の特性を生かして君はどう生きるか？,
70,2,6,4,70,流螺,りゅうら,水,信念系,螺律,水の螺旋は柔軟に螺旋状に進化し続ける信念を持つ。,水,智,柔軟な信念で継続的に成長する魂。,「流」：柔軟性。「螺」：らせん的な進化と成長。『流螺』は継続的成長を促す魂。,『あなたの柔軟な信念は成長を継続的に促す。その特性で周囲を成長させることがあなたの私命だ。』,この流螺の特性を生かして君はどう生きるか？,
71,2,6,5,71,深耀,しんよう,水,信念系,霊脈,水の螺旋は深遠な直感と感情の共鳴を象徴する。心の奥深くで静かに輝く信念が霊的な繋がりを生む。,水,信,深遠な直感と輝きをもつ信念で、人と霊的な絆を結ぶ魂。,「深」深遠な心、内面的な洞察力。「耀」静かに輝く信念の光。,あなたの心には深い湖のような静かな輝きがある。その輝きを信じ、人々との霊的な絆を深めていくことがあなたの使命だ。,この深耀の特性を生かして君はどう生きるか？,
72,2,6,6,72,碧映,へきえい,水,信念系,真形,水の螺旋は透明な感受性と内なる信念を象徴し、本質を鮮やかに映し出す特性を持つ。,水,智,鮮やかに真実を映し出し、人々に深い気づきを与える魂。,「碧」透明で美しい内面の心。「映」真実を鮮やかに映し出す力。,あなたの心の透明さが真実を映し出し、人々に深い洞察を与える。その美しさを信じ抜き、真の形を世界に示していこう。,この碧映の特性を生かして君はどう生きるか？,
73,3,1,1,73,焔響,えんきょう,火,智略系,數理,火の螺旋は情熱と明晰な思考を象徴する。燃えるような意志で数理の美しさを奏でる。,火,智,明晰な思考と情熱で、世界に叡智を響かせる魂。,「焔」燃えるような意志と情熱。「響」明晰な思考の美しい響き。,あなたの燃える情熱と鋭い知性は、世界に新たな叡智を響かせる。あなた自身を信じ、その焔を絶やさずに進もう。,この焔響の特性を生かして君はどう生きるか？,
74,3,1,2,74,煌冴,こうご,火,智略系,陰陽,火の螺旋は活力と鋭敏な判断力を象徴する。明るく冴えわたる精神で陰陽の調和をもたらす。,火,義,鋭敏な判断力と活力で、陰陽を見極め調和を実現する魂。,「煌」明るく輝く活力。「冴」鋭敏な判断力。,あなたの明るく輝く活力と鋭い判断力が世界に調和をもたらす。その力を信じ、陰陽の均衡を保ち続けよう。,この煌冴の特性を生かして君はどう生きるか？,
75,3,1,3,75,燿律,ようりつ,火,智略系,易変,火の螺旋は革新的な発想力と変化への敏感さを象徴する。新たな時代の律動を生み出す。,火,礼,革新的な発想と敏感な感受性で時代の新しいリズムを創出する魂。,「燿」輝くような革新的発想。「律」整然とした新しいリズム。,あなたがもつ革新的な発想力が時代に新しい律動をもたらす。あなた自身の輝きを信じ、恐れずに変化を創造しよう。,この燿律の特性を生かして君はどう生きるか？,
76,3,1,4,76,焱翔,えんしょう,火,智略系,螺律,火の螺旋は情熱と向上心を象徴し、高みへと力強く飛翔する精神性を持つ。,火,信,熱い情熱と向上心をもって、高みを目指し飛翔する魂。,「焱」燃え立つ情熱の炎。「翔」自由に高く飛翔する精神。,あなたの心の情熱は、あなたを高い場所へと導く。その焱を信じて、自由に飛び立とう。,この焱翔の特性を生かして君はどう生きるか？,
77,3,1,5,77,燦瑞,さんずい,火,智略系,霊脈,火の螺旋は明るく輝く知性と霊的なインスピレーションを象徴する。,火,智,明るい知性と霊感を持ち、周囲に希望の光をもたらす魂。,「燦」明るく眩しい輝き。「瑞」幸福を告げる吉兆。,あなたの明るい知性と霊感は、多くの人々に希望を与える。その光を信じ、人々に瑞兆を示していこう。,この燦瑞の特性を生かして君はどう生きるか？,
78,3,1,6,78,熾耀,しよう,火,智略系,真形,火の螺旋は激しい意志と透徹した真理の光を象徴する。真の形を情熱的に示す。,火,義,激しい意志と透徹した真理を持ち、真実の姿を情熱的に示す魂。,「熾」激しく燃える意志。「耀」真実の輝きを透徹させる力。,あなたの激しい意志と透徹した真理は、真実の形を世界に示す力を持つ。その力を信じて進もう。,この熾耀の特性を生かして君はどう生きるか？,
79,3,2,1,79,煌律,こうりつ,火,共鳴系,數理,火の螺旋は情熱的なエネルギーを持ち、共鳴を通じて人々の心を惹きつける。直感的に本質を捉え、論理的に導いていく。,火,智,情熱と共鳴力で人々を惹きつけ、鋭い分析で正しい道へ導く魂。,「煌」は輝きを放つ美しさや情熱を、「律」は秩序と調和を保つことを意味する。,『あなたの輝く情熱は共鳴を生み、その鋭い洞察力は人々を真実へと導く力となる。あなたが生きる道こそが美しい秩序を生むのだ。』,この煌律の特性を生かして君はどう生きるか？,
80,3,2,2,80,陽響,ようきょう,火,共鳴系,陰陽,火の螺旋は活力と輝きを表し、共鳴を通して調和を作り出す。陰陽のバランスを絶妙に取ることで人々を癒やす。,火,仁,明るく輝く共鳴力で、陰陽の調和を生み、人々を癒す魂。,「陽」は明るさと活力、「響」は共鳴と調和を象徴する。,『あなたの持つ明るい共鳴は、人々の心に調和をもたらし、陰陽の絶妙なバランスを作り出す。あなた自身が生きることで世界は明るく照らされる。』,この陽響の特性を生かして君はどう生きるか？,
81,3,2,3,81,焔轉,えんてん,火,共鳴系,易変,火の螺旋は情熱と活力を象徴し、変化を敏感に察知し共鳴を通して柔軟に適応する。,火,信,情熱をもって変化を感じ取り、共鳴によって柔軟に適応する魂。,「焔」は燃え上がる情熱、「轉」は変化や転換を表す。,『あなたの情熱は常に変化を捉え、共鳴を通して周囲を活性化させる。柔軟さを持ち続けるあなたこそが変化の中で輝くのだ。』,この焔轉の特性を生かして君はどう生きるか？,
82,3,2,4,82,熾環,しかん,火,共鳴系,螺律,火の螺旋は熱烈な共鳴を生み出し、循環的に人々を巻き込みながら成長を促す。,火,義,熱烈な共鳴で周囲を巻き込み、循環的な成長を促す魂。,「熾」は燃え盛る熱烈な情熱、「環」は循環を意味する。,『あなたの熱い情熱は共鳴を生み、周囲を巻き込みながら成長を循環させていく。あなたが燃え続けることで周囲は進化する。』,この熾環の特性を生かして君はどう生きるか？,
83,3,2,5,83,燿脈,ようみゃく,火,共鳴系,霊脈,火の螺旋は輝くエネルギーを持ち、霊的な共鳴を通じて深く人々の内面に影響を与える。,火,智,輝きを持ち、霊的な共鳴で人々の内面に深く影響を与える魂。,「燿」は輝きを放つこと、「脈」は繋がりや連続性を意味する。,『あなたが放つ輝きは霊的な共鳴を生み、人々の内面を深く照らす。あなたの存在が人々を真実の道へ導くのだ。』,この燿脈の特性を生かして君はどう生きるか？,
84,3,2,6,84,煉慧,れんけい,火,共鳴系,真形,火の螺旋は情熱を通じて共鳴を起こし、本質的な智慧を具現化する。,火,智,情熱的な共鳴で本質的な智慧を具現化し、真理を見抜く魂。,「煉」は精錬された情熱や智慧、「慧」は鋭い智慧を意味する。,『あなたの情熱は共鳴を通じて智慧を精錬し、本質を具現化する。あなたが真理を追求することで、周囲は真実を得る。』,この煉慧の特性を生かして君はどう生きるか？,
85,3,3,1,85,燈導,とうどう,火,行動系,數理,火の螺旋は情熱と行動力を持ち、確かな分析力をもって人々を正しい方向へと照らし導く。,火,信,情熱的な行動力と的確な分析力で人々を導き、真実の道を照らす魂。,「燈」は灯火や明かりで人を導く象徴、「導」は正しい道筋を示す。,『あなたの情熱的な行動が人々の道を照らし、正しい方向へと導いていく。あなたが動くほど世界は明るく、確かなものとなる。』,この燈導の特性を生かして君はどう生きるか？,
86,3,3,2,86,焔衡,えんこう,火,行動系,陰陽,火の螺旋は情熱的な行動力と共に、陰陽の絶妙なバランスを取りながら周囲に調和をもたらす。,火,礼,熱烈な情熱を持ち、行動によって陰陽の調和を絶妙に保つ魂。,「焔」は燃えるような情熱、「衡」は調和やバランスを示す。,『あなたの燃える情熱が周囲を動かし、陰陽のバランスを美しく調整していく。あなたが行動することで世界は調和に満たされる。』,この焔衡の特性を生かして君はどう生きるか？,
87,3,3,3,87,熾漣,しれん,火,行動系,易変,火の螺旋は燃える行動力で小さな変化を捉え、その波紋を広げて大きな影響をもたらす。,火,義,情熱的な行動力で変化を敏感に捉え、小さな波から大きな影響を生み出す魂。,「熾」は燃え盛る情熱、「漣」は小さな波紋や微かな変化を象徴する。,『あなたの情熱が小さな変化を的確に捉え、その波紋を広げて世界に影響を与える。あなたの一歩が未来を作り出すのだ。』,この熾漣の特性を生かして君はどう生きるか？,
88,3,3,4,88,燿旋,ようせん,火,行動系,螺律,火の螺旋は行動を通じて情熱的なエネルギーを放ち、螺旋的に周囲の人々を巻き込み成長を促す。,火,智,輝きを伴う行動で周囲を巻き込み、螺旋的な成長を引き起こす魂。,「燿」は明るく輝くこと、「旋」は螺旋的な回転を表す。,『あなたの輝く行動力が周囲を巻き込み、人々を螺旋的に成長させる。あなたが動くほど、世界は高みへと導かれる。』,この燿旋の特性を生かして君はどう生きるか？,
89,3,3,5,89,炬澪,きょれい,火,行動系,霊脈,火の螺旋は行動を通じて強いエネルギーを放ち、霊的な流れを感じ取りながら深く影響を及ぼす。,火,信,情熱的な行動で霊的な流れを感じ取り、人々に深く影響を与える魂。,「炬」は明かりや情熱の炎、「澪」は水の流れや霊的な道筋を象徴する。,『あなたの情熱的な行動は霊的な流れを感じ、人々を本質的な道筋へと導く力を持つ。あなたの存在が世界を照らすのだ。』,この炬澪の特性を生かして君はどう生きるか？,
90,3,3,6,90,煉顕,れんけん,火,行動系,真形,火の螺旋は精錬された情熱を持ち、行動を通して真理や本質を現実に明らかにする。,火,智,情熱的な行動力を通して本質や真理を現実に明らかにする魂。,「煉」は精錬された情熱、「顕」は明らかに示すことを意味する。,『あなたの精錬された情熱が真理を現実に顕現させる。あなたが行動するほど世界の真実は明らかになるのだ。』,この煉顕の特性を生かして君はどう生きるか？,
91,3,4,1,91,暁衡,ぎょうこう,火,創造系,數理,火の螺旋は、内に燃える情熱と「形を成す」意志の炎。理想をただ夢見ず、それを現実に降ろす強さを持つ。,火,智,情熱と構造美を融合させ、黎明のごとく世界に均衡を築く魂。,「暁」：新たな光が差し込む夜明け。創造の始まりを象徴。 / 「衡」：均衡・バランス・構造的調和。数理による美の象徴。,『あなたは、まだ静寂の中にいるかもしれない。けれど、もうすぐ“暁”が訪れる。あなたの中に燃える炎は、ただ燃えるためだけにあるのではない。それは、世界に“調和”という構造を築くための設計図だった。迷ってもいい。遅れてもいい。ただ、光を信じて。必ず、夜は明ける。』,この暁衡の特性を生かして君はどう生きるか？,
92,3,4,2,92,鳳漣,ほうれん,火,創造系,陰陽,火の螺旋は、創造の中に魂の深奥を映す対極を持つ。目には見えない“波紋”が、内と外、陰と陽を静かに調和させていく。,火,礼,華やかな創造の奥に、静かな調和を秘めた魂。,「鳳」：神聖な美しき創造者。 / 「漣」：水面に広がる波紋。繊細で奥深い調和の象徴。,『君が創るものは、ただ派手なだけではない。その静けさの奥に、誰にも真似できない“鳳の波紋”が広がっている。美しさは、静かなところに宿る。』,この鳳漣の特性を生かして君はどう生きるか？,
93,3,4,3,93,焔階,えんかい,火,創造系,易変,火の螺旋は、絶えず変容する意志。創造の旅は螺旋階段のように、上昇と回帰を繰り返す。,火,信,燃える創造力を持ち、変化の中で何度でも登り直す魂。,「焔」：尽きぬ情熱。 / 「階」：段階・上昇・構造を持つ変容の象徴。,『あなたの人生は、一本道ではない。何度も登り、何度も戻る。それでも炎を絶やさず、一歩ずつ進むあなたを、私は誇りに思う。』,この焔階の特性を生かして君はどう生きるか？,
94,3,4,4,94,煌設,こうせつ,火,創造系,螺律,火の螺旋は、美と論理を両立する創造者。設計図のように美しい“形”を、情熱で編み上げる。,火,智,美と秩序を重んじ、創造を体系立てる魂。,「煌」：きらびやかな才能の輝き。 / 「設」：設計・構築・理性的創造の象徴。,『あなたの創造には、“秩序”という美しさがある。それは芸術でもあり、哲学でもある。燃やせ、光れ、組み上げよ。』,この煌設の特性を生かして君はどう生きるか？,
